"canonicalname","guild","citationSource","simplified_disease_1","simplified_disease_2","accepted_name","kingdom","names_to_use"
"Aabaarnia_siphulicola","Lichen_Parasite","Lawrey_JD,_Diederich_P._2016._http://www.lichenicolous.net_(accessed_24_May_2017)_((http://www.lichenicolous.net))",NA,NA,"Aabaarnia siphulicola","Fungi","Aabaarnia_siphulicola"
"Abortiporus_biennis Abortiporus_biennis_f._distortus Boletus_biennis Heteroporus_biennis Polyporus_biennis Polyporus_biennis_var._distortus Polyporus_distortus","Plant_Pathogen Wood_Saprotroph","Sánchez-García,_M_et_al._2020._Proc_Natl_Acad_Sci_U_S_A_117(51):_32528-32534 AND USDA_Plant_Fungus_database_https://nt.ars-grin.gov/fungaldatabases/fungushost/fungushost.cfm AND USDA_Plant_Fungus_database_https://nt.ars-grin.gov/fungaldatabases/fungushost/fungushost.cfm AND USDA_Plant_Fungus_database_https://nt.ars-grin.gov/fungaldatabases/fungushost/fungushost.cfm AND USDA_Plant_Fungus_database_https://nt.ars-grin.gov/fungaldatabases/fungushost/fungushost.cfm AND USDA_Plant_Fungus_database_https://nt.ars-grin.gov/fungaldatabases/fungushost/fungushost.cfm AND USDA_Plant_Fungus_database_https://nt.ars-grin.gov/fungaldatabases/fungushost/fungushost.cfm","white_heart_rot","rot","Abortiporus biennis","Fungi","Abortiporus_biennis"
"Abrachium_floriforme","Saprotroph","Sánchez-García,_M_et_al._2020._Proc_Natl_Acad_Sci_U_S_A_117(51):_32528-32534",NA,NA,"Abrachium floriforme","Fungi","Abrachium_floriforme"
"Abrothallus_boomii","Lichen_Parasite","Lawrey_JD,_Diederich_P._2016._http://www.lichenicolous.net_(accessed_24_May_2017)_((http://www.lichenicolous.net))",NA,NA,"Abrothallus boomii","Fungi","Abrothallus_boomii"
"Abrothallus_brattii","Lichen_Parasite","Lawrey_JD,_Diederich_P._2016._http://www.lichenicolous.net_(accessed_24_May_2017)_((http://www.lichenicolous.net))",NA,NA,"Abrothallus brattii","Fungi","Abrothallus_brattii"
"Abrothallus_bryoriarum","Lichen_Parasite","Lawrey_JD,_Diederich_P._2016._http://www.lichenicolous.net_(accessed_24_May_2017)_((http://www.lichenicolous.net))",NA,NA,"Abrothallus bryoriarum","Fungi","Abrothallus_bryoriarum"
"Abrothallus_buellianus","Lichen_Parasite","Lawrey_JD,_Diederich_P._2016._http://www.lichenicolous.net_(accessed_24_May_2017)_((http://www.lichenicolous.net))",NA,NA,"Abrothallus buellianus","Fungi","Abrothallus_buellianus"
"Abrothallus_caerulescens","Lichen_Parasite","Lawrey_JD,_Diederich_P._2016._http://www.lichenicolous.net_(accessed_24_May_2017)_((http://www.lichenicolous.net))",NA,NA,"Abrothallus caerulescens","Fungi","Abrothallus_caerulescens"
"Abrothallus_canariensis","Lichen_Parasite","Lawrey_JD,_Diederich_P._2016._http://www.lichenicolous.net_(accessed_24_May_2017)_((http://www.lichenicolous.net))",NA,NA,"Abrothallus canariensis","Fungi","Abrothallus_canariensis"
"Abrothallus_cetrariae","Lichen_Parasite","Lawrey_JD,_Diederich_P._2016._http://www.lichenicolous.net_(accessed_24_May_2017)_((http://www.lichenicolous.net))",NA,NA,"Abrothallus cetrariae","Fungi","Abrothallus_cetrariae"
