"accepted_name","guild","guild_count","tax_level","phylum","class","order","family"
"Aabaarnia","Lichen_Parasite",1,"B_genus","Ascomycota","Lecanoromycetes","Ostropales","Incertae sedis"
"Abortiporus","Necrotrophic_plant_pathogen Wood_Saprotroph",2,"B_genus","Basidiomycota","Agaricomycetes","Polyporales","Podoscyphaceae"
"Abrachium","Saprotroph",1,"B_genus","Basidiomycota","Agaricomycetes","Phallales","Phallaceae"
"Abrothallus","Lichen_Parasite",1,"B_genus","Ascomycota","Dothideomycetes","Abrothallales","Abrothallaceae"
"Absconditella","Algae_Parasite Lichenized",2,"B_genus","Ascomycota","Lecanoromycetes","Ostropales","Stictidaceae"
"Abundisporus","Wood_Saprotroph",1,"B_genus","Basidiomycota","Agaricomycetes","Polyporales","Polyporaceae"
"Acanthobasidium","Wood_Saprotroph",1,"B_genus","Basidiomycota","Agaricomycetes","Russulales","Stereaceae"
"Acanthocorticium","Saprotroph",1,"B_genus","Basidiomycota","Agaricomycetes","Agaricales","Incertae sedis"
"Acanthofungus","Wood_Saprotroph",1,"B_genus","Basidiomycota","Agaricomycetes","Russulales","Stereaceae"
"Acanthohelicospora","Saprotroph",1,"B_genus","Ascomycota","Dothideomycetes","Tubeufiales","Tubeufiaceae"
"Acanthonitschkea","Lichen_Parasite",1,"B_genus","Ascomycota","Sordariomycetes","Coronophorales","Nitschkiaceae"
"Acanthophysellum","Wood_Saprotroph",1,"B_genus","Basidiomycota","Agaricomycetes","Russulales","Stereaceae"
"Acanthostigma","Saprotroph",1,"B_genus","Ascomycota","Dothideomycetes","Tubeufiales","Tubeufiaceae"
"Acanthostigmella","Saprotroph",1,"B_genus","Ascomycota","Dothideomycetes","Tubeufiales","Tubeufiaceae"
"Acanthostigmina","Saprotroph",1,"B_genus","Ascomycota","Dothideomycetes","Tubeufiales","Tubeufiaceae"
"Acanthothecis","Lichenized",1,"B_genus","Ascomycota","Lecanoromycetes","Ostropales","Graphidaceae"
"Acanthotrema","Lichenized",1,"B_genus","Ascomycota","Lecanoromycetes","Ostropales","Graphidaceae"
"Acarella","Plant_Pathogen",1,"B_genus","Ascomycota","Dothideomycetes","Asterinales","Asterinaceae"
"Acaroconium","Lichen_Parasite",1,"B_genus","Ascomycota","Incertae sedis","Incertae sedis","Incertae sedis"
"Acarocybellina","Biotrophic_plant_pathogen",1,"B_genus","Ascomycota","Incertae sedis","Incertae sedis","Incertae sedis"
"Acaromyces","Insect_Pathogen Plant_Pathogen",2,"B_genus","Basidiomycota","Exobasidiomycetes","Exobasidiales","Cryptobasidiaceae"
"Acarospora","Lichen_Parasite Lichenized",2,"B_genus","Ascomycota","Lecanoromycetes","Acarosporales","Acarosporaceae"
"Acarosporina","Plant_Pathogen Saprotroph",2,"B_genus","Ascomycota","Lecanoromycetes","Ostropales","Stictidaceae"
"Acarosporium","Lichen_Parasite",1,"B_genus","Ascomycota","Leotiomycetes","Helotiales","Sclerotiniaceae"
"Acaulospora","Arbuscular_Mycorrhizal",1,"B_genus","Glomeromycota","Glomeromycetes","Diversisporales","Acaulosporaceae"
"Acephala","Ectomycorrhizal",1,"B_genus","Ascomycota","Leotiomycetes","Helotiales","Vibrisseaceae"
"Acervuloseptoria","Necrotrophic_plant_pathogen",1,"B_genus","Ascomycota","Dothideomycetes","Mycosphaerellales","Mycosphaerellaceae"
"Achorella","Plant_Pathogen",1,"B_genus","Ascomycota","Dothideomycetes","Incertae sedis","Incertae sedis"
"Achrotelium","Biotrophic_plant_pathogen",1,"B_genus","Basidiomycota","Pucciniomycetes","Pucciniales","Chaconiaceae"
"Aciculopsora","Lichenized",1,"B_genus","Ascomycota","Lecanoromycetes","Lecanorales","Ramalinaceae"
"Aciculosporium","Plant_Pathogen",1,"B_genus","Ascomycota","Sordariomycetes","Hypocreales","Clavicipitaceae"
"Acidea","Saprotroph",1,"B_genus","Ascomycota","Leotiomycetes","Helotiales","Incertae sedis"
"Acidiella","Saprotroph",1,"B_genus","Ascomycota","Dothideomycetes","Mycosphaerellales","Teratosphaeriaceae"
"Acidomyces","Endophyte",1,"B_genus","Ascomycota","Dothideomycetes","Mycosphaerellales","Teratosphaeriaceae"
"Acidothrix","Saprotroph",1,"B_genus","Ascomycota","Sordariomycetes","Amplistromatales","Amplistromataceae"
"Acladium","Saprotroph",1,"B_genus","Basidiomycota","Agaricomycetes","Cantharellales","Botryobasidiaceae"
"Acolium","Lichen_Parasite Lichenized",2,"B_genus","Ascomycota","Lecanoromycetes","Caliciales","Caliciaceae"
"Acremoniella","Saprotroph",1,"B_genus","Ascomycota","Incertae sedis","Incertae sedis","Incertae sedis"
"Acremoniopsis","Saprotroph",1,"B_genus","Ascomycota","Sordariomycetes","Hypocreales","Incertae sedis"
"Acremonium","Endophyte Fungal_Parasite Human_Pathogen Lichen_Parasite Necrotrophic_plant_pathogen Plant_Pathogen Saprotroph Wood_Saprotroph",8,"B_genus","Ascomycota","Sordariomycetes","Hypocreales","Incertae sedis"
"Acrocalymma","Endophyte Necrotrophic_plant_pathogen Plant_Pathogen Saprotroph",4,"B_genus","Ascomycota","Dothideomycetes","Pleosporales","Acrocalymmaceae"
"Acroconidiellina","Plant_Pathogen",1,"B_genus","Ascomycota","Incertae sedis","Incertae sedis","Incertae sedis"
"Acrocordia","Lichenized Saprotroph",2,"B_genus","Ascomycota","Dothideomycetes","Monoblastiales","Monoblastiaceae"
