"accepted_name","guild","phylum","guild_count","tax_level"
"Aabaarnia_siphulicola","Lichen_Parasite","Ascomycota",1,"A_species"
"Abortiporus_biennis","Necrotrophic_plant_pathogen Wood_Saprotroph","Basidiomycota",2,"A_species"
"Abrachium_floriforme","Saprotroph","Basidiomycota",1,"A_species"
"Abrothallus_boomii","Lichen_Parasite","Ascomycota",1,"A_species"
"Abrothallus_brattii","Lichen_Parasite","Ascomycota",1,"A_species"
"Abrothallus_bryoriarum","Lichen_Parasite","Ascomycota",1,"A_species"
"Abrothallus_buellianus","Lichen_Parasite","Ascomycota",1,"A_species"
"Abrothallus_caerulescens","Lichen_Parasite","Ascomycota",1,"A_species"
"Abrothallus_canariensis","Lichen_Parasite","Ascomycota",1,"A_species"
"Abrothallus_cetrariae","Lichen_Parasite","Ascomycota",1,"A_species"
"Abrothallus_doliiformis","Lichen_Parasite","Ascomycota",1,"A_species"
"Abrothallus_eriodermae","Lichen_Parasite","Ascomycota",1,"A_species"
"Abrothallus_ertzii","Lichen_Parasite","Ascomycota",1,"A_species"
"Abrothallus_etayoi","Lichen_Parasite","Ascomycota",1,"A_species"
"Abrothallus_granulatae","Lichen_Parasite","Ascomycota",1,"A_species"
"Abrothallus_halei","Lichen_Parasite","Ascomycota",1,"A_species"
"Abrothallus_hypotrachynae","Lichen_Parasite","Ascomycota",1,"A_species"
"Abrothallus_kamchatica","Lichen_Parasite","Ascomycota",1,"A_species"
"Abrothallus_lobariae","Lichen_Parasite","Ascomycota",1,"A_species"
"Abrothallus_macrosporus","Lichen_Parasite","Ascomycota",1,"A_species"
"Abrothallus_microspermus","Lichen_Parasite","Ascomycota",1,"A_species"
"Abrothallus_nephromatis","Lichen_Parasite","Ascomycota",1,"A_species"
"Abrothallus_parmeliarum","Lichen_Parasite","Ascomycota",1,"A_species"
"Abrothallus_peyritschii","Lichen_Parasite","Ascomycota",1,"A_species"
"Abrothallus_pezizicola","Lichen_Parasite","Ascomycota",1,"A_species"
"Abrothallus_psoromatis","Lichen_Parasite","Ascomycota",1,"A_species"
"Abrothallus_secedens","Lichen_Parasite","Ascomycota",1,"A_species"
"Abrothallus_stereocaulorum","Lichen_Parasite","Ascomycota",1,"A_species"
"Abrothallus_stictarum","Lichen_Parasite","Ascomycota",1,"A_species"
"Abrothallus_stroblii","Lichen_Parasite","Ascomycota",1,"A_species"
"Abrothallus_suecicus","Lichen_Parasite","Ascomycota",1,"A_species"
"Abrothallus_teloschistis","Lichen_Parasite","Ascomycota",1,"A_species"
"Abrothallus_tulasnei","Lichen_Parasite","Ascomycota",1,"A_species"
"Abrothallus_usneae","Lichen_Parasite","Ascomycota",1,"A_species"
"Abrothallus_welwitschii","Lichen_Parasite","Ascomycota",1,"A_species"
"Absconditella_amabilis","Lichenized","Ascomycota",1,"A_species"
"Absconditella_antarctica","Lichenized","Ascomycota",1,"A_species"
"Absconditella_celata","Lichenized","Ascomycota",1,"A_species"
"Absconditella_delutula","Lichenized","Ascomycota",1,"A_species"
"Absconditella_lignicola","Algae_Parasite Lichenized","Ascomycota",2,"A_species"
"Absconditella_pauxilla","Lichenized","Ascomycota",1,"A_species"
"Absconditella_sphagnorum","Lichenized","Ascomycota",1,"A_species"
"Absconditella_trivialis","Lichenized","Ascomycota",1,"A_species"
"Abundisporus_fuscopurpureus","Wood_Saprotroph","Basidiomycota",1,"A_species"
"Abundisporus_pubertatis","Wood_Saprotroph","Basidiomycota",1,"A_species"
"Abundisporus_quercicola","Wood_Saprotroph","Basidiomycota",1,"A_species"
"Abundisporus_sclerosetosus","Wood_Saprotroph","Basidiomycota",1,"A_species"
"Acanthobasidium_norvegicum","Wood_Saprotroph","Basidiomycota",1,"A_species"
"Acanthobasidium_penicillatum","Wood_Saprotroph","Basidiomycota",1,"A_species"
"Acanthobasidium_phragmitis","Wood_Saprotroph","Basidiomycota",1,"A_species"
"Acanthobasidium_weirii","Wood_Saprotroph","Basidiomycota",1,"A_species"
"Acanthocorticium_brueggemannii","Saprotroph","Basidiomycota",1,"A_species"
